Item ID,Item Lookup Type ID,Name,Description,UDF01,UDF02,UDF03,UDF04,UDF05,UDF06,UDF07,UDF08,UDF09,UDF10,UDF11,UDF12,UDF13,UDF14,UDF15,UDF16,UDF17,UDF18,UDF19,UDF20
4390,1,*,*,,,,,,,,,,,,,,,,,,,,
4899,1,"1/4"" BODY(20-TH-0025-XXX)RPTFE",V20-2C01SR01mn,,,,,,,,,,,,,,,,,,,,
4900,1,"1/4"" END CAP(20-TH-0025-XXX)RPTFE/NPT",V20-2C01SR01mn,,,,,,,,,,,,,,,,,,,,
1564,1,10-TH-0025-XXX,"1/4"" 1-Piece, 316SST Ball Valve, RTFE Seats, Threaded Ends, Reduced Port",,,,,,,,,,,,,,,,,,,,
3245,1,10-TH-0038-XXX,*,,,,,,,,,,,,,,,,,,,,
1565,1,10-TH-0050-XXX,"1/2"" 1-Piece, 316SST Ball Valve, RTFE Seats, Threaded Ends, Reduced Port, Locking Handle",,,,,,,,,,,,,,,,,,,,
1566,1,10-TH-0075-XXX,"3/4"" 1-Piece, 316SST Ball Valve, RTFE Seats, Threaded Ends, Reduced Port, Locking Handle",,,,,,,,,,,,,,,,,,,,
3258,1,10-TH-0100-XXX,*,,,,,,,,,,,,,,,,,,,,
1567,1,10-TH-0125-XXX,"1-1/4"" 1-Piece, 316SST Ball Valve, RTFE Seats, Threaded Ends, Reduced Port, Locking Handle",,,,,,,,,,,,,,,,,,,,
2955,1,10-TH-0150-XXX,"1-1/2"" 1-Piece, 316SST Ball Valve, RTFE Seats, Threaded Ends, Reduced Port, Locking Handle",,,,,,,,,,,,,,,,,,,,
4738,1,10-TH-0200-XXX,"2"" 1-Piece, 316SST Ball Valve, RTFE Seats, Threaded Ends, Reduced Port, Locking Handle",,,,,,,,,,,,,,,,,,,,
1568,1,20-TH-0025-XXX,"1/4"" 2-Piece, 316SST Ball Valve, RTFE Seats, Threaded Ends, Full Port, Locking Handle",,,,,,,,,,,,,,,,,,,,
