SerialNo.,HeatNo.,Component,A-TPartNo.,Size,Material,EndStyle,Notes,VendorNo.,PONo.,ShipmentReference,Date,FileName(exact).pdf
,0KSTL,BODY,T77-SO-0300-PXT-EP,"3""",CF3M,SO,,MAR001,55661,ATC32374B-a T77-SO,2021-01-22,ATC32374B-a T77-SO.pdf
,0KSUL,BODY,T77-SO-0300-PXT-EP,"3""",CF3M,SO,,MAR001,55661,ATC32374B-a T77-SO,2021-01-22,ATC32374B-a T77-SO.pdf
,0LGJL,BODY,T77-SO-0300-PXT-EP,"3""",CF3M,SO,,MAR001,55661,ATC32374B-a T77-SO,2021-01-22,ATC32374B-a T77-SO.pdf
,0LGKL,BODY,T77-SO-0300-PXT-EP,"3""",CF3M,SO,,MAR001,55661,ATC32374B-a T77-SO,2021-01-22,ATC32374B-a T77-SO.pdf
,4KHVL,BODY,T77-SO-0300-PXT-EP,"3""",CF3M,SO,,MAR001,55661,ATC32374B-a T77-SO,2021-01-22,ATC32374B-a T77-SO.pdf
,0KTKLS,END CAP,T77-SO-0300-PXT-EP,"3""",CF8M,SO,,MAR001,55661,ATC32374B-a T77-SO,2021-01-22,ATC32374B-a T77-SO.pdf
,0KTLLS,END CAP,T77-SO-0300-PXT-EP,"3""",CF8M,SO,,MAR001,55661,ATC32374B-a T77-SO,2021-01-22,ATC32374B-a T77-SO.pdf
,0KTMLS,END CAP,T77-SO-0300-PXT-EP,"3""",CF8M,SO,,MAR001,55661,ATC32374B-a T77-SO,2021-01-22,ATC32374B-a T77-SO.pdf
,0KTNLS,END CAP,T77-SO-0300-PXT-EP,"3""",CF8M,SO,,MAR001,55661,ATC32374B-a T77-SO,2021-01-22,ATC32374B-a T77-SO.pdf
,DLSD05B,BALL,T77-SO-0300-PXT-EP,"3""",,SO,,MAR001,55661,ATC32374B-a ball ,2021-01-22,ATC32374B-a ball .pdf
,DLSD98E,BALL,T77-SO-0300-PXT-EP,"3""",,SO,,MAR001,55661,ATC32374B-a ball ,2021-01-22,ATC32374B-a ball .pdf
,BLY054226,STEM,T77-SO-0300-PXT-EP,"3""",,SO,,MAR001,55661,ATC32374B-a stem ,2021-01-22,ATC32374B-a stem .pdf
,BL771201,STEM,T77-SO-0300-PXT-EP,"3""",,SO,,MAR001,55661,ATC32374B-a stem ,2021-01-22,ATC32374B-a stem .pdf
,0M9BW,BODY,31C-F1-0200-XXX-L,"2""",WCB,F1,,MAR001,55837,ATC32498D 31C-F1,2021-01-22,ATC32498D 31C-F1.pdf
,9M49W,BODY,31C-F1-0200-XXX-L,"2""",WCB,F1,,MAR001,55837,ATC32498D 31C-F1,2021-01-22,ATC32498D 31C-F1.pdf
,0M6HW,END CAP,31C-F1-0200-XXX-L,"2""",WCB,F1,,MAR001,55837,ATC32498D 31C-F1,2021-01-22,ATC32498D 31C-F1.pdf
,0M6KW,END CAP,31C-F1-0200-XXX-L,"2""",WCB,F1,,MAR001,55837,ATC32498D 31C-F1,2021-01-22,ATC32498D 31C-F1.pdf
,0MZVW,END CAP,31C-F1-0200-XXX-L,"2""",WCB,F1,,MAR001,55837,ATC32498D 31C-F1,2021-01-22,ATC32498D 31C-F1.pdf
,0MZWW,END CAP,31C-F1-0200-XXX-L,"2""",WCB,F1,,MAR001,55837,ATC32498D 31C-F1,2021-01-22,ATC32498D 31C-F1.pdf
,0M79W,TOP CAP,31C-F1-0200-XXX-L,"2""",WCB,F1,,MAR001,55837,ATC32498D 31C-F1,2021-01-22,ATC32498D 31C-F1.pdf
,0V79W,BODY,31C-F1-0600-XXX-L,"6""",WCB,F1,,MAR001,55837,ATC32498D 31C-F1,2021-01-22,ATC32498D 31C-F1.pdf
